rank,time,odds,old,jockey_weight,frame_order,horse_weight
1, 1:54.8, 17.2, 牝3, 54, 8, 446(-8)
2,1:55.5,5.6,牝3,54,5,468(+2)
3,1:55.6,3.4,牝3,54,3,460(0)
4,1:56.1,33.9,牝3,51,4,486(-2)
5,1:56.2,2.7,牝3,54,7,452(-4)
1,1:25.4,3.1,牡3,56,5,442(+2)
2,1:25.7,78.2,牝3,54,3,446(+10)
3,1:25.7,2.6,牡3,56,1,440(0)
4,1:26.0,23.0,牡3,56,6,500(-2)
5,1:26.4,6.0,牝3,54,1,440(-2)
1,1:13.1,3.9,牡3,56,6,462(-2)
2,1:13.2,9.4,牝3,54,5,456(+8)
3,1:13.2,3.6,牡3,56,7,486(-6)
4,1:13.4,12.5,,牡3,5,476(-4)
5,1:14.3,77.0,,牡3,4,458(0)
1,1:23.1,2.7,牝3,54,5,418(0)
2,1:23.2,11.6,牝3,54,2,454(-4)
3,1:23.5,4.4,牝3,54,6,410(-14)
4,1:23.6,13.0,牡3,56,1,440(0)
5,1:23.8,357.2,牡3,56,7,460(+10)
1,1:54.3,3.8,牡3,55,8,460(-4)
2,1:54.9,3.7,牡3,56,7,506(-8)
3,1:55.7,7.4,,セ3,5,476(-4)
4,1:55.8,134.1,,牡3,1,490(-10)
5,1:55.9,9.2,,牡3,8,470(-2)
1,1:21.6,3.2,牡3,56,2,502(+12)
2,1:21.6,112.8,牡3,56,4,450(-2)
3,1:21.8,1.9,牡3,56,3,464(+2)
4,1:21.9,7.7,牝3,54,1,464(0)
5,1:22.2,131.7,牡3,56,7,434(-2)
1,1:53.1,3.6,牝5,55,4,506(-2)
2,1:53.1,39.5,,牝5,6,500(-2)
3,1:53.3,3.4,,牝4,1,498(+4)
4,1:53.4,2.9,,牝5,2,498(0)
5,1:54.0,6.9,,,8,454(-2)
1,1:25.3,2.5,牡4,57,5,514(+10)
2,1:25.4,18.7,牝5,55,1,468(+10)
3,1:25.6,4.3,牡4,57,6,502(-4)
4,1:26.3,19.5,セ4,57,8,494(-6)
5,1:26.4,8.0,牡4,57,3,440(+2)
1,1:47.0,6.1,牝3,54,8,464(0)
2,1:47.1,2.0,牝3,54,8,448(-6)
3,1:47.5,7.4,牝3,54,5,470(+4)
4,1:47.5,14.9,牝3,54,3,428(-2)
5,1:47.6,6.7,,牝3,6,480(-12)
1,1:34.1,19.1,牡6,53,1,506(0)
2,1:34.1,16.1,牝4,52,7,456(0)
3,1:34.2,3.8,牡4,55,5,448(-10)
4,1:34.4,2.5,牝5,55,5,494(-2)
5,1:34.6,17.5,牝6,52,6,464(-4)
1,1:46.5,2.5,牡3,56,1,522(0)
2,1:46.8,3.9,牡3,56,5,502(-2)
3,1:46.8,5.1,牡3,56,3,460(-4)
4,1:46.9,52.9,牡3,56,2,492(-8)
5,1:47.1,68.4,牡3,56,6,468(+4)
1,1:12.7,3.0,牝4,54,7,488(-6)
2,1:12.9,15.0,牝5,55,3,474(+2)
3,1:13.0,8.6,牝5,55,5,420(-10)
4,1:13.0,3.1,牝4,55,1,444(0)
5,1:13.7,8.5,牝5,55,2,472(-4)
1,1:26.6,3.1,牝3,54,2,464(+12)
2,1:26.6,3.1,,牝3,4,476(-2)
3,1:26.7,6.8,,,1,470(+2)
4,1:26.9,5.2,,,5,468(0)
5,1:27.1,16.0,**,,6,452(+2)
1,1:13.5,14.7,牡3,56,6,440(-2)
2,1:13.5,2.9,牡3,56,8,502(+2)
3,1:13.9,12.5,セ3,56,7,432(+2)
4,1:14.2,2.3,牝3,54,3,466(+6)
5,1:14.6,28.5,牡3,55,6,506(-2)
1,1:55.4,4.8,牡3,56,6,484(-10)
2,1:55.5,6.1,牡3,56,4,478(+4)
3,1:55.7,6.8,,牡3,2,478(-6)
4,1:55.8,7.3,,牡3,8,540(-2)
5,1:56.4,43.6,,牡3,5,450(-2)
1,3:22.1,43.0,牡5,60,4,492(+2)
2,3:22.1,4.9,59,ハナ,6,494(+18)
3,3:22.2,16.7,3/4,,7,490(-4)
4,3:22.8,2.0,,,5,440(-4)
5,3:22.9,9.2,,牡4,2,502(-2)
1,1:47.9,2.4,牝3,54,3,464(+2)
2,1:48.1,3.1,牡3,56,1,468(-8)
3,1:48.3,55.3,,牡3,7,452(+4)
4,1:48.6,75.8,,牡3,6,432(-6)
5,1:48.7,62.4,,牡3,6,428(0)
1,2:30.1,8.9,牡3,56,7,492(+4)
2,2:30.1,2.5,牡3,56,8,492(-12)
3,2:30.4,87.5,牡3,56,6,440(-4)
4,2:30.4,5.5,牡3,56,1,450(-4)
5,2:30.8,6.7,牡3,56,5,460(0)
1,1:25.7,39.6,牡3,56,7,492(+4)
2,1:25.7,3.7,牡3,56,8,462(-6)
3,1:26.1,6.8,牡3,56,7,444(0)
4,1:26.2,8.5,牡3,56,4,468(+4)
5,1:26.4,11.3,牡3,56,6,486(-2)
1,1:54.0,19.3,牡5,57,7,486(-8)
2,1:54.1,2.5,牡6,57,8,512(0)
3,1:54.4,3.2,牡5,57,5,456(-2)
4,1:54.5,4.5,牡5,57,6,510(0)
5,1:54.8,7.5,牡5,57,6,484(0)
1,2:01.9,4.0,牝5,55,1,444(-2)
2,2:01.9,5.4,牝4,55,4,448(-4)
3,2:01.9,2.1,牝5,55,2,468(-4)
4,2:02.0,11.3,牝4,55,6,424(+10)
5,2:02.2,7.2,牝4,55,7,454(-2)
1,1:08.3,7.4,牡5,57,6,490(-2)
2,1:08.8,13.4,牝6,55,3,480(-2)
3,1:08.9,4.3,牝6,55,2,466(+4)
4,1:08.9,3.2,牝5,55,7,478(-4)
5,1:09.0,28.8,セ7,57,3,520(-2)
1,1:32.9,3.1,牡5,56,4,510(-4)
2,1:33.2,3.8,牡6,56,8,470(-4)
3,1:33.2,9.1,牡5,56,8,524(-4)
4,1:33.4,4.1,牡5,56,3,472(-2)
5,1:33.4,7.8,,牡4,1,476(-10)
1,1:51.8,2.0,牡5,57,4,546(-10)
2,1:52.2,5.4,牡5,54,6,458(+2)
3,1:52.4,21.7,牡4,57,3,478(0)
4,1:52.9,9.2,牡4,57,8,514(0)
5,1:53.1,6.3,セ4,56,2,478(-6)
1,1:54.1,16.5,牡3,56,3,528(+16)
2,1:54.6,1.7,牡3,56,7,528(+10)
3,1:54.7,37.6,牡3,53,4,460(-4)
4,1:55.0,111.8,牡3,56,5,504(+2)
5,1:55.0,17.4,牡3,56,2,512(+12)
1,1:13.7,12.8,牡3,54,1,468(+2)
2,1:13.7,31.8,牡3,56,3,484(0)
3,1:14.2,1.3,牡3,56,5,488(-2)
4,1:14.2,361.1,牝3,53,2,458(+2)
5,1:14.3,6.7,牡3,56,7,466(-6)
1,1:47.4,4.2,牝3,54,4,460(+8)
2,1:47.4,6.3,牝3,54,8,426(-8)
3,1:48.0,25.4,牝3,54,6,460(+4)
4,1:48.1,8.2,牝3,54,7,474(-4)
5,1:48.2,5.1,牝3,54,2,446(+4)
1,2:01.3,4.5,牡3,56,3,500(0)
2,2:01.7,6.6,牡3,56,1,524(-2)
3,2:01.8,12.6,牡3,56,1,478(-4)
4,2:01.8,21.6,牡3,56,2,480(0)
5,2:02.0,1.7,,牡3,5,476(-2)
1,1:53.7,2.3,牡3,56,4,512(-2)
2,1:54.5,4.8,牡3,56,5,514(+6)
3,1:54.6,15.3,,牡3,7,490(+2)
4,1:54.9,67.9,,牡3,7,450(+4)
5,1:55.0,62.1,,牡3,8,532(+4)
1,1:59.5,5.2,牡4,54,5,526(+2)
2,1:59.6,3.6,牡4,57,7,516(+6)
3,1:59.7,2.7,,牡4,5,474(+2)
4,1:59.7,6.7,,,4,490(-2)
5,2:00.1,37.4,,,1,482(-4)
1,1:12.6,7.5,牡7,57,3,474(+4)
2,1:12.7,3.7,牡4,57,4,490(0)
3,1:12.9,32.5,牡4,57,1,460(-2)
4,1:13.0,11.3,牡4,54,7,480(+8)
5,1:13.0,3.7,牡4,57,8,486(-2)
1,3:32.0,6.6,セ5,60,8,494(+2)
2,3:32.4,14.8,62,2.1/2,7,480(+8)
3,3:32.5,2.7,クビ,,4,492(-6)
4,3:32.7,4.8,,,6,446(+2)
5,3:32.8,5.5,,牡5,5,478(-4)
1,2:29.9,2.6,牡3,56,4,474(0)
2,2:30.3,3.9,牡3,56,2,470(-2)
3,2:30.4,7.1,牡3,56,3,504(+4)
4,2:30.5,9.2,,牡3,5,490(-4)
5,2:30.5,30.2,,牡3,1,458(0)
1,1:20.5,5.9,牡4,57,8,494(0)
2,1:20.7,7.9,牡4,57,1,478(-10)
3,1:20.8,5.9,牡5,57,3,448(+4)
4,1:20.8,9.4,,牝4,2,450(-2)
5,1:20.8,3.5,,牝4,8,472(+4)
1,1:23.4,6.4,牡6,58.5,6,530(-8)
2,1:23.5,7.0,牡6,54,3,514(-6)
3,1:23.6,13.3,牡6,56,2,500(-8)
4,1:23.6,21.5,牝4,52,4,482(-4)
5,1:23.9,93.0,牡6,55,4,474(-6)
1,1:52.4,1.7,牡4,57,3,514(0)
2,1:53.0,17.5,牡4,57,8,512(0)
3,1:53.2,16.7,牡6,54,1,484(+14)
4,1:53.2,6.5,牡4,57,4,508(0)
5,1:53.2,5.4,,牝5,4,516(+2)
1,1:55.6,12.0,牝3,54,6,464(+2)
2,1:55.7,7.8,牝3,54,7,466(+2)
3,1:55.8,3.2,,牝3,3,498(+8)
4,1:56.1,117.7,,牝3,1,480(+2)
5,1:56.2,33.9,,,5,440(+2)
1,1:25.8,2.9,牡3,56,1,490(-8)
2,1:27.0,3.9,牡3,56,8,488(-2)
3,1:27.0,28.8,セ3,56,3,482(+4)
4,1:27.0,35.7,,牡3,5,502(0)
5,1:27.2,6.5,,牝3,8,520(0)
1,2:09.0,89.6,牡3,56,6,456(0)
2,2:09.0,28.3,牡3,56,8,490(0)
3,2:09.2,6.1,牡3,56,1,466(-2)
4,2:09.8,13.9,,牡3,3,446(+2)
5,2:10.2,11.7,,牡3,2,452(0)
1,1:34.3,16.4,牡3,56,7,504(0)
2,1:34.3,32.6,,牝3,4,410(+2)
3,1:34.6,2.4,,牡3,5,454(-10)
4,1:34.8,6.1,,,2,454(-6)
5,1:34.9,54.1,,,1,468(-6)
1,1:13.4,15.3,牝3,54,8,434(0)
2,1:13.4,2.5,牡3,55,3,506(+4)
3,1:13.5,15.7,牡3,56,6,480(0)
4,1:13.6,7.5,牝3,54,2,470(+6)
5,1:13.7,7.8,,牡3,4,486(-4)
1,1:53.7,2.5,牡5,57,4,522(+8)
2,1:54.0,6.1,牡5,57,6,478(0)
3,1:54.0,2.7,牡4,57,8,434(0)
4,1:54.2,8.1,牡4,57,5,442(+2)
5,1:54.6,22.2,牡4,57,5,462(+8)
1,1:08.7,12.7,牝5,55,5,416(0)
2,1:08.7,6.1,牝4,52,1,434(-4)
3,1:08.8,5.0,牡5,57,2,492(+10)
4,1:09.0,49.2,牡5,57,7,532(-12)
5,1:09.0,16.1,牝5,55,1,450(+6)
1,1:12.4,4.5,牡4,57,5,464(+2)
2,1:12.6,8.0,,牡4,3,516(+2)
3,1:12.7,62.8,,牝7,4,464(-6)
4,1:13.0,155.5,,牡6,8,546(+4)
5,1:13.1,4.9,,牝5,6,454(-4)
1,2:03.6,13.2,牡4,57,2,482(0)
2,2:03.6,2.9,牡5,57,6,482(-4)
3,2:04.1,3.6,牡5,57,5,478(+8)
4,2:04.1,5.6,牡5,57,1,442(+2)
5,2:04.3,4.8,牝5,55,4,416(-6)
1,2:27.4,3.6,牡4,55,8,496(0)
2,2:27.4,2.4,牡4,55,4,514(+8)
3,2:27.5,7.6,牡5,56,6,504(-14)
4,2:27.7,16.0,牡5,55,5,526(-2)
5,2:27.8,35.1,牡7,54,3,466(-10)
1,1:58.2,3.5,牡4,57,8,516(-4)
2,1:58.3,16.3,,牡4,3,482(0)
3,1:58.4,3.6,,,4,516(-6)
4,1:58.6,38.5,,,2,518(-4)
5,1:58.7,12.3,,,1,474(-10)
1,1:24.3,1.8,牝4,55,4,482(-2)
2,1:24.4,11.6,牡4,57,2,492(0)
3,1:24.6,36.7,牡5,57,7,486(-6)
4,1:24.6,20.3,,牡7,8,498(-4)
5,1:24.7,36.1,,牡5,8,484(-8)
1,1:11.6,14.2,牝3,54,1,468(+2)
2,1:11.6,49.3,牝3,54,4,456(-4)
3,1:11.7,7.7,牝3,54,2,512(+12)
4,1:11.9,6.2,牝3,54,6,456(0)
5,1:12.1,45.7,牝3,54,2,418(+4)
1,1:23.9,24.4,牡3,56,7,414(-10)
2,1:24.0,15.4,,牡3,5,490(+28)
3,1:24.8,4.1,,牝3,7,434(0)
4,1:24.8,4.2,,牡3,2,500(0)
5,1:25.1,24.4,,,3,470(0)
1,1:52.9,3.4,牡3,56,8,488(0)
2,1:53.2,3.7,牡3,56,4,494(-4)
3,1:53.9,4.8,牡3,56,1,502(-2)
4,1:54.1,72.5,牡3,55,1,548(0)
5,1:54.2,18.5,牡3,56,6,446(0)
1,1:23.1,13.6,牡3,56,3,434(+2)
2,1:23.2,13.9,牡3,56,8,458(+6)
3,1:23.2,3.4,牝3,54,8,446(0)
4,1:23.2,61.6,牝3,54,5,496(+10)
5,1:23.3,2.5,,牝3,4,474(+2)
1,1:23.5,1.9,牡3,56,6,496(+8)
2,1:23.6,13.9,牝3,54,1,472(-2)
3,1:23.8,15.9,,牡3,2,486(+6)
4,1:24.0,16.6,,牝3,8,476(-8)
5,1:24.1,20.0,,牡3,3,460(-6)
1,1:34.5,2.4,牡3,56,1,468(-2)
2,1:34.5,36.4,牡3,56,2,492(-4)
3,1:34.9,6.1,牡3,56,4,470(-12)
4,1:35.0,14.7,,牡3,7,434(+6)
5,1:35.3,6.2,,,5,448(+4)
1,1:51.9,2.2,牝4,55,3,498(0)
2,1:51.9,2.5,牝4,55,1,482(-2)
3,1:52.3,7.6,牝5,55,4,470(-6)
4,1:52.6,106.4,牝4,54,5,460(-2)
5,1:52.8,169.1,牝4,55,8,442(+2)
1,2:04.8,2.2,牡5,57,7,490(+4)
2,2:05.0,4.4,牡4,57,8,478(-4)
3,2:05.1,21.4,牡6,57,1,484(-2)
4,2:05.2,20.2,セ5,57,3,496(-10)
5,2:05.2,14.5,牡5,57,4,462(0)
1,1:34.1,4.1,牡4,57,4,478(+6)
2,1:34.3,1.8,牡4,57,8,484(+8)
3,1:34.4,46.0,,牡4,7,502(+2)
4,1:34.5,105.3,,牡6,6,424(+2)
5,1:34.5,3.0,,牡4,1,438(+2)
1,2:28.7,3.5,牡4,57,3,498(-2)
2,2:28.8,1.9,牡5,57,4,444(+2)
3,2:29.0,15.5,,牡6,8,508(+6)
4,2:29.2,9.3,,牡5,6,478(0)
5,2:29.5,4.9,,牡7,1,452(0)
1,1:34.8,8.4,牝4,54,7,506(0)
2,1:34.8,55.6,牝5,54,7,444(0)
3,1:34.8,2.4,牝4,54,3,452(+4)
4,1:34.9,6.6,牝5,56,2,434(+6)
5,1:35.0,12.0,牝5,54,1,466(0)
1,1:50.5,10.2,牡4,57,1,528(+2)
2,1:50.5,5.1,牡4,57,8,478(0)
3,1:51.0,5.2,牡4,57,2,440(0)
4,1:51.2,16.6,牡4,57,3,470(-2)
5,1:51.2,10.4,,牡4,5,448(+4)
1,1:54.1,1.6,牝3,54,5,518(+8)
2,1:54.7,5.2,牝3,54,3,458(-2)
3,1:55.5,4.7,牝3,54,1,414(-6)
4,1:55.8,28.8,牝3,54,4,462(+2)
5,1:56.1,119.4,牝3,54,2,494(-2)
1,1:12.3,1.4,牡3,56,3,490(-2)
2,1:12.6,19.0,牡3,56,6,464(+6)
3,1:12.8,16.0,牝3,54,7,438(+2)
4,1:13.2,7.4,牡3,56,1,466(+12)
5,1:13.3,41.6,牝3,51,5,462(-4)
1,1:54.6,3.4,牡3,56,5,492(-4)
2,1:54.6,20.4,牡3,56,8,452(+2)
3,1:55.0,13.1,牡3,56,8,440(-6)
4,1:55.3,10.5,牡3,56,5,484(-8)
5,1:55.4,14.9,牡3,53,1,478(+12)
1,1:48.3,4.4,牡3,56,1,460(-6)
2,1:48.5,31.7,牡3,56,7,458(+4)
3,1:48.7,3.3,牡3,56,1,430(-2)
4,1:48.7,28.3,牡3,56,8,468(0)
5,1:48.9,48.4,牡3,56,6,402(-14)
1,1:52.3,19.3,牡3,56,7,474(-2)
2,1:52.3,3.7,牡3,56,8,500(0)
3,1:52.4,7.0,牝3,54,5,496(+6)
4,1:52.5,4.3,牡3,56,7,464(-4)
5,1:52.7,19.3,牡3,56,6,462(-2)
1,1:23.5,5.7,牡4,57,1,480(0)
2,1:23.6,14.9,牡4,54,3,470(0)
3,1:23.7,71.9,牝5,54,1,454(0)
4,1:23.7,11.6,牡5,57,4,490(+2)
5,1:23.7,3.8,牡5,57,5,528(+2)
1,1:33.9,2.2,牡5,57,7,496(+2)
2,1:33.9,3.1,牝4,55,2,494(+2)
3,1:34.2,69.7,牝4,55,1,472(+26)
4,1:34.3,14.7,牡5,57,7,478(+6)
5,1:34.3,46.1,,牡4,4,452(-2)
1,1:22.6,2.7,牡5,57,7,484(-2)
2,1:23.2,8.1,牡5,57,7,494(-2)
3,1:23.4,16.7,牡7,57,6,490(+8)
4,1:23.6,7.2,牡5,57,6,502(0)
5,1:23.6,46.8,牡7,57,5,484(+2)
1,2:00.5,2.1,牝3,54,6,442(-8)
2,2:00.5,52.0,牝3,54,1,446(0)
3,2:00.6,35.5,牝3,54,7,486(+8)
4,2:00.7,10.4,,牝3,5,452(+2)
5,2:01.1,122.0,,,8,398(+6)
1,1:21.1,26.1,牝4,53,2,456(+10)
2,1:21.1,6.9,牡5,56,3,468(+4)
3,1:21.3,5.5,牡4,57,2,454(+4)
4,1:21.3,2.7,,牝5,1,508(-4)
5,1:21.4,130.7,,牝6,4,472(+16)
1,1:33.1,3.9,牝3,55,7,462(-2)
2,1:33.4,1.8,,牝3,1,488(-6)
3,1:33.5,7.4,,牝3,5,498(0)
4,1:33.8,42.1,,牝3,4,456(0)
5,1:33.8,13.5,,牝3,8,440(+2)
1,1:51.2,11.5,牡5,57,8,546(-10)
2,1:51.2,4.1,牝5,55,6,490(0)
3,1:51.4,2.5,牡4,57,5,546(+4)
4,1:51.5,7.7,,牡4,1,528(0)
5,1:51.5,46.0,,牡5,2,496(-2)
1,1:55.3,67.8,牝3,51,3,482(-4)
2,1:55.4,4.3,牝3,54,6,498(+6)
3,1:55.7,5.0,牝3,54,5,466(+6)
4,1:55.9,5.5,,牝3,5,492(-10)
5,1:56.6,6.4,,牝3,4,464(-4)
1,1:26.2,2.8,牡3,56,2,452(0)
2,1:26.4,5.2,牡3,56,6,458(-8)
3,1:26.7,11.6,牡3,56,3,464(+2)
4,1:26.8,19.9,牡3,56,4,482(0)
5,1:27.0,2.2,牡3,56,8,486(0)
1,1:55.3,4.8,牡3,56,6,470(+10)
2,1:55.5,22.6,牡3,56,7,502(-10)
3,1:55.5,47.7,牡3,53,2,480(0)
4,1:56.0,2.1,牡3,56,5,478(0)
5,1:56.2,57.3,牡3,56,1,518(+18)
1,2:01.8,4.4,牝3,53,5,470(-10)
2,2:01.8,4.3,牝3,54,2,394(-2)
3,2:02.2,50.4,牝3,54,5,404(0)
4,2:02.5,2.5,牝3,54,3,456(+2)
5,2:02.5,34.3,牝3,54,7,424(0)
1,2:12.9,1.4,牡3,56,3,504(+12)
2,2:12.9,6.9,牡3,56,2,480(-10)
3,2:13.3,15.7,牡3,56,1,474(+2)
4,2:13.4,55.6,牡3,56,4,458(+12)
5,2:13.7,16.6,牡3,56,7,474(-4)
1,1:08.7,3.7,牡3,56,3,474(+8)
2,1:09.1,3.1,牡3,56,2,458(+4)
3,1:09.1,30.9,牡3,56,5,460(+4)
4,1:09.2,37.2,牝3,53,1,456(-8)
5,1:09.2,15.4,牡3,56,4,520(-4)
1,1:53.2,11.7,牡5,56,6,526(+4)
2,1:53.2,6.3,牡4,57,1,516(-8)
3,1:53.6,6.6,牡5,57,3,508(-2)
4,1:53.7,8.0,牡4,56,5,472(+8)
5,1:53.9,17.5,牡5,57,5,488(-2)
1,1:24.9,5.7,牡5,57,8,518(-2)
2,1:25.1,33.2,,牡5,7,468(-6)
3,1:25.2,8.9,,,8,504(+2)
4,1:25.5,7.5,,,5,504(-4)
5,1:25.7,18.2,**,,3,412(0)
1,1:46.2,4.3,牡5,57,5,500(0)
2,1:46.2,5.6,牡4,57,8,492(+8)
3,1:46.4,3.3,牡5,57,7,458(-2)
4,1:46.5,13.9,牡5,57,6,482(-10)
5,1:46.6,10.5,牡4,57,3,480(+8)
1,1:10.9,2.6,牝5,54,6,496(0)
2,1:11.0,8.8,,牝4,1,482(0)
3,1:11.1,50.8,,牡6,8,540(-2)
4,1:11.1,8.3,,牝4,6,456(-2)
5,1:11.2,7.9,,牡5,8,508(+2)
1,1:33.4,3.1,牡3,56,5,510(-8)
2,1:33.5,4.7,,牡3,1,462(-8)
3,1:33.6,7.0,,牡3,7,470(-2)
4,1:33.6,3.5,,,2,454(-6)
5,1:33.8,12.2,,,8,466(0)
1,2:06.0,13.3,牡6,57,5,516(0)
2,2:06.8,5.0,牡5,57,1,488(-4)
3,2:07.0,3.6,牡4,57,4,494(0)
4,2:07.1,107.2,牡4,57,3,526(0)
5,2:07.1,9.6,牡4,57,6,516(+2)
1,1:12.3,151.0,牡3,53,5,498(+12)
2,1:12.7,2.0,牡3,55,7,472(-12)
3,1:13.1,127.7,,牝3,5,456(+2)
4,1:13.2,4.1,,牡3,6,432(-2)
5,1:13.4,3.7,,牡3,4,502(0)
1,1:51.6,5.8,牡3,55,3,488(-12)
2,1:52.6,48.3,牡3,56,1,462(+2)
3,1:52.9,5.4,牡3,56,2,436(0)
4,1:52.9,2.3,牡3,56,7,494(-4)
5,1:54.0,19.5,牡3,56,5,450(+4)
1,1:25.0,6.3,牡3,56,5,510(0)
2,1:25.1,10.7,,牝3,8,450(-2)
3,1:25.5,4.2,,牡3,2,462(+4)
4,1:25.6,19.2,,牡3,5,502(0)
5,1:25.7,3.7,,牝3,1,442(-4)
1,1:36.6,5.0,牝3,54,1,426(-12)
2,1:36.8,4.4,牡3,56,8,486(+4)
3,1:36.8,18.0,,牡3,8,462(+2)
4,1:36.9,71.5,,牝3,1,428(-2)
5,1:37.1,8.6,,牝3,3,446(+16)
1,1:52.9,2.3,牝3,54,5,516(-8)
2,1:53.1,4.4,,牡3,6,500(+4)
3,1:53.2,7.3,,牡3,3,468(-4)
4,1:53.3,39.6,,牝3,7,460(-4)
5,1:53.3,7.5,,牡3,2,502(-2)
1,2:02.0,2.1,牡3,56,6,526(0)
2,2:02.7,5.5,牡3,56,8,498(0)
3,2:02.7,12.7,牡3,56,7,480(0)
4,2:02.8,5.0,牡3,56,4,478(-4)
5,2:03.1,27.0,,牡3,5,468(0)
1,1:10.1,3.1,牡4,57,8,486(-4)
2,1:10.9,4.3,牡4,57,6,460(-12)
3,1:10.9,7.3,牡5,57,3,536(-2)
4,1:11.1,5.2,牡4,57,4,514(-10)
5,1:11.2,18.2,牡4,54,7,478(-2)
1,2:14.0,4.6,牡4,57,7,510(-4)
2,2:15.3,10.3,牡4,57,6,458(-4)
3,2:15.4,6.8,牡5,54,5,498(-4)
4,2:15.8,90.2,牡4,56,4,486(-8)
5,2:15.8,7.9,牡4,57,5,466(+4)
1,1:09.4,2.9,牡6,56,6,492(+2)
2,1:09.4,8.3,牝4,52,7,484(+2)
3,1:09.4,2.9,牡4,55,5,480(+2)
4,1:09.5,29.2,牡5,53,6,494(0)
5,1:09.5,17.8,牝5,52,8,414(-2)
1,1:47.5,5.9,牡5,57,8,458(-4)
2,1:47.6,6.8,牡4,57,2,454(-6)
3,1:47.9,8.1,セ5,57,8,454(-6)
4,1:48.1,4.8,牝4,55,3,462(+10)
5,1:48.1,4.5,牡5,57,6,472(0)
1,1:49.8,2.2,牡5,57,1,546(+8)
2,1:50.0,8.9,牡6,57,8,472(-4)
3,1:50.1,10.5,牡5,56,7,476(-2)
4,1:50.3,9.9,牡6,56,3,494(+9)
5,1:50.4,20.1,牡4,56,6,488(-14)
1,1:23.2,3.0,牝4,55,2,470(-2)
2,1:23.2,5.1,牝4,55,4,458(-2)
3,1:23.6,13.3,牝4,55,2,440(-6)
4,1:23.6,9.3,,牝4,7,426(-4)
5,1:23.7,10.4,,牝6,4,460(+2)
1,1:12.7,3.9,牝3,54,5,430(+2)
2,1:13.1,3.8,牝3,52,4,458(-2)
3,1:13.2,27.3,牝3,54,8,440(-4)
4,1:13.3,9.8,牝3,54,6,468(-4)
5,1:13.3,26.7,,牝3,2,444(-2)
1,1:26.7,5.3,牡3,56,1,506(-16)
2,1:26.7,31.2,牝3,54,4,444(0)
3,1:27.1,5.5,牡3,56,6,508(0)
4,1:27.2,11.1,牡3,56,5,498(+6)
5,1:27.2,311.1,牡3,53,7,466(0)
1,1:55.0,27.5,牝3,54,2,422(-8)
2,1:55.3,2.3,牝3,54,3,462(0)
3,1:55.4,10.6,,牝3,8,452(+8)
4,1:55.8,6.9,,牝3,6,488(+4)
5,1:55.9,7.2,,牝3,1,458(+4)
1,1:21.4,5.9,牝3,54,2,444(+2)
2,1:21.4,1.8,牡3,56,5,464(-2)
3,1:21.7,67.4,牝3,54,6,450(-2)
4,1:21.9,27.2,牡3,56,4,464(-12)
5,1:22.0,19.1,牡3,56,1,478(0)
1,1:35.9,1.9,牡2,54,3,448(0)
2,1:36.1,6.0,,牡2,4,462(0)
3,1:36.2,58.2,,牝2,1,428(0)
4,1:36.4,14.0,,牝2,2,454(0)
5,1:36.8,3.4,,牝2,8,444(0)
1,2:08.0,1.4,牡3,56,7,508(-6)
2,2:08.0,10.6,牡3,56,5,490(-12)
3,2:08.5,15.2,牡3,56,8,486(-2)
4,2:09.1,47.9,牡3,56,4,456(0)
5,2:09.9,88.2,牡3,54,6,464(+2)
1,2:39.0,2.8,牡3,56,7,520(+6)
2,2:39.3,170.7,牝3,51,1,458(+14)
3,2:39.4,3.1,牡3,56,5,480(-2)
4,2:39.5,21.1,,牡3,4,468(-8)
5,2:39.5,4.7,,牡3,2,444(-2)
1,1:53.9,5.1,牡3,54,5,486(+6)
2,1:53.9,14.3,牡4,57,6,458(-6)
3,1:54.0,18.7,牡4,57,2,432(+2)
4,1:54.3,2.6,牡3,54,4,464(+10)
5,1:55.1,35.7,牝5,55,7,498(-8)
1,1:08.5,8.5,牝3,52,6,426(0)
2,1:08.7,3.1,セ4,57,5,490(-8)
3,1:08.9,2.8,牡4,57,7,442(+4)
4,1:09.0,17.1,牝4,55,5,426(+6)
5,1:09.0,7.1,牡3,54,3,466(+4)
1,1:45.7,4.4,牝4,55,8,462(+2)
2,1:46.1,1.9,牝4,55,4,460(+14)
3,1:46.2,10.4,牡5,54,8,492(-10)
4,1:46.3,4.7,セ5,56,7,456(+6)
5,1:46.3,23.2,牝5,53,5,434(+2)
1,1:57.2,5.9,牡5,56,7,520(-2)
2,1:57.3,2.8,セ4,56,2,530(+4)
3,1:57.7,3.8,牡4,56,5,492(-4)
4,1:57.9,5.1,牡6,56,6,532(+2)
5,1:57.9,12.6,牡8,56,8,514(+4)
1,1:24.4,6.3,牝3,49,7,462(0)
2,1:24.5,8.1,牡4,57,5,482(-2)
3,1:24.7,6.9,牡3,54,8,492(+8)
4,1:24.9,6.0,牡5,57,3,464(0)
5,1:24.9,4.0,牡4,57,3,466(-2)
1,1:26.0,6.9,牝3,52,2,450(-1)
2,1:26.3,2.8,牝3,53,6,432(+6)
3,1:26.6,6.8,牝3,53,5,418(-4)
4,1:26.7,32.9,牝3,54,1,434(+8)
5,1:26.9,13.1,牝3,54,8,444(+6)
1,1:13.0,58.7,牡3,56,5,458(+6)
2,1:13.2,3.4,,牡3,2,506(-2)
3,1:13.5,24.2,,牡3,3,514(+6)
