rank,odds,old,jockey_weight,frame_order,horse_weight
0,19.0,3,56,6,464
0,16.0,3,54,7,438
1,7.4,3,56,1,466
1,41.6,3,51,5,462
0,3.4,3,56,5,492
0,20.4,3,56,8,452
0,13.1,3,56,8,440
1,10.5,3,56,5,484
1,14.9,3,53,1,478
0,4.4,3,56,1,460
0,31.7,3,56,7,458
0,3.3,3,56,1,430
1,28.3,3,56,8,468
1,48.4,3,56,6,402
0,19.3,3,56,7,474
0,3.7,3,56,8,500
0,7.0,3,54,5,496
1,4.3,3,56,7,464
1,19.3,3,56,6,462
0,5.7,4,57,1,480
0,14.9,4,54,3,470
0,71.9,5,54,1,454
1,11.6,5,57,4,490
1,3.8,5,57,5,528
0,2.2,5,57,7,496
0,3.1,4,55,2,494
0,69.7,4,55,1,472
1,14.7,5,57,7,478
0,2.7,5,57,7,484
0,8.1,5,57,7,494
0,16.7,7,57,6,490
1,7.2,5,57,6,502
1,46.8,7,57,5,484
0,2.1,3,54,6,442
0,52.0,3,54,1,446
0,35.5,3,54,7,486
0,26.1,4,53,2,456
0,6.9,5,56,3,468
0,5.5,4,57,2,454
0,3.9,3,55,7,462
0,11.5,5,57,8,546
0,4.1,5,55,6,490
0,2.5,4,57,5,546
0,67.8,3,51,3,482
0,4.3,3,54,6,498
0,5.0,3,54,5,466
0,2.8,3,56,2,452
0,5.2,3,56,6,458
0,11.6,3,56,3,464
1,19.9,3,56,4,482
1,2.2,3,56,8,486
0,4.8,3,56,6,470
0,22.6,3,56,7,502
0,47.7,3,53,2,480
1,2.1,3,56,5,478
1,57.3,3,56,1,518
0,4.4,3,53,5,470
0,4.3,3,54,2,394
0,50.4,3,54,5,404
1,2.5,3,54,3,456
1,34.3,3,54,7,424
0,1.4,3,56,3,504
0,6.9,3,56,2,480
0,15.7,3,56,1,474
1,55.6,3,56,4,458
1,16.6,3,56,7,474
0,3.7,3,56,3,474
0,3.1,3,56,2,458
0,30.9,3,56,5,460
1,37.2,3,53,1,456
1,15.4,3,56,4,520
0,11.7,5,56,6,526
0,6.3,4,57,1,516
0,6.6,5,57,3,508
1,8.0,4,56,5,472
1,17.5,5,57,5,488
0,5.7,5,57,8,518
0,4.3,5,57,5,500
0,5.6,4,57,8,492
0,3.3,5,57,7,458
1,13.9,5,57,6,482
1,10.5,4,57,3,480
0,2.6,5,54,6,496
0,3.1,3,56,5,510
0,13.3,6,57,5,516
0,5.0,5,57,1,488
0,3.6,4,57,4,494
1,107.2,4,57,3,526
1,9.6,4,57,6,516
0,151.0,3,53,5,498
0,2.0,3,55,7,472
0,5.8,3,55,3,488
0,48.3,3,56,1,462
0,5.4,3,56,2,436
1,2.3,3,56,7,494
1,19.5,3,56,5,450
0,6.3,3,56,5,510
0,5.0,3,54,1,426
0,4.4,3,56,8,486
0,2.3,3,54,5,516
0,2.1,3,56,6,526
0,5.5,3,56,8,498
0,12.7,3,56,7,480
1,5.0,3,56,4,478
0,3.1,4,57,8,486
0,4.3,4,57,6,460
0,7.3,5,57,3,536
1,5.2,4,57,4,514
1,18.2,4,54,7,478
0,4.6,4,57,7,510
0,10.3,4,57,6,458
0,6.8,5,54,5,498
1,90.2,4,56,4,486
1,7.9,4,57,5,466
0,2.9,6,56,6,492
0,8.3,4,52,7,484
0,2.9,4,55,5,480
1,29.2,5,53,6,494
1,17.8,5,52,8,414
0,5.9,5,57,8,458
0,6.8,4,57,2,454
0,8.1,5,57,8,454
1,4.8,4,55,3,462
1,4.5,5,57,6,472
0,2.2,5,57,1,546
0,8.9,6,57,8,472
0,10.5,5,56,7,476
1,9.9,6,56,3,494
1,20.1,4,56,6,488
0,3.0,4,55,2,470
0,5.1,4,55,4,458
0,13.3,4,55,2,440
0,3.9,3,54,5,430
0,3.8,3,52,4,458
0,27.3,3,54,8,440
1,9.8,3,54,6,468
0,5.3,3,56,1,506
0,31.2,3,54,4,444
0,5.5,3,56,6,508
1,11.1,3,56,5,498
1,311.1,3,53,7,466
0,27.5,3,54,2,422
0,2.3,3,54,3,462
0,5.9,3,54,2,444
0,1.8,3,56,5,464
0,67.4,3,54,6,450
1,27.2,3,56,4,464
1,19.1,3,56,1,478
0,1.9,2,54,3,448
0,1.4,3,56,7,508
0,10.6,3,56,5,490
0,15.2,3,56,8,486
1,47.9,3,56,4,456
1,88.2,3,54,6,464
0,2.8,3,56,7,520
0,170.7,3,51,1,458
0,3.1,3,56,5,480
0,5.1,3,54,5,486
0,14.3,4,57,6,458
0,18.7,4,57,2,432
1,2.6,3,54,4,464
1,35.7,5,55,7,498
0,8.5,3,52,6,426
0,3.1,4,57,5,490
0,2.8,4,57,7,442
1,17.1,4,55,5,426
1,7.1,3,54,3,466
0,4.4,4,55,8,462
0,1.9,4,55,4,460
0,10.4,5,54,8,492
1,4.7,5,56,7,456
1,23.2,5,53,5,434
0,5.9,5,56,7,520
0,2.8,4,56,2,530
0,3.8,4,56,5,492
1,5.1,6,56,6,532
1,12.6,8,56,8,514
0,6.3,3,49,7,462
0,8.1,4,57,5,482
0,6.9,3,54,8,492
1,6.0,5,57,3,464
1,4.0,4,57,3,466
0,6.9,3,52,2,450
0,2.8,3,53,6,432
0,6.8,3,53,5,418
1,32.9,3,54,1,434
1,13.1,3,54,8,444
0,58.7,3,56,5,458
0,2.6,3,56,6,438
0,4.3,3,56,5,490
0,4.5,3,56,3,514
1,106.9,3,54,6,458
1,6.2,3,56,3,474
0,10.0,6,60,7,492
0,88.2,0,1,8,500
0,6.4,2,54,5,518
0,25.1,2,54,7,442
0,9.9,3,54,3,470
0,8.5,3,54,2,460
0,6.0,3,54,4,428
1,157.7,3,54,1,436
1,102.3,3,54,2,452
0,3.3,4,55,8,484
0,5.5,3,52,1,450
0,19.1,4,54,5,464
1,2.0,4,54,4,468
1,10.8,4,55,8,476
0,4.6,4,55,5,466
0,3.2,3,52,5,508
0,2.2,4,55,5,476
0,15.1,6,55,6,470
0,18.1,5,57,8,466
1,155.6,7,57,6,496
1,8.6,5,57,1,490
0,8.4,8,54,4,450
0,3.1,5,56,1,500
0,8.2,7,55,7,504
1,14.2,7,54,2,452
1,2.9,4,57,5,532
0,3.6,4,57,5,462
0,16.1,3,54,2,436
0,4.1,3,54,3,444
0,8.5,3,54,2,468
0,137.5,3,54,8,452
0,1.5,3,56,2,526
0,10.0,3,56,7,484
0,8.3,3,56,6,518
0,12.5,3,56,5,468
0,43.8,3,56,1,452
0,6.0,3,54,4,418
0,3.3,3,56,2,484
1,2.3,3,56,7,448
1,35.4,3,54,7,414
0,1.5,2,54,3,450
0,4.2,3,54,6,468
0,54.6,3,54,8,468
0,2.3,3,56,1,462
1,9.4,3,55,3,502
0,1.4,4,55,3,460
0,55.2,4,55,7,452
0,7.9,5,54,4,488
1,11.1,4,53,7,458
1,44.5,3,52,2,488
0,4.6,4,57,5,480
0,5.3,3,54,4,490
0,7.6,3,54,7,484
0,4.3,4,57,6,478
0,12.2,3,52,6,436
1,11.8,4,57,3,496
1,4.7,4,57,3,478
0,5.0,4,57,6,436
0,3.6,5,57,1,492
0,32.5,5,54,4,440
1,18.7,5,55,8,466
1,21.1,6,54,3,428
0,5.5,5,57,7,522
0,2.3,4,55,5,484
0,7.3,4,57,8,474
1,6.3,4,55,6,482
1,80.0,5,57,6,480
0,1.4,3,54,8,478
0,5.4,4,57,2,502
0,66.1,5,57,6,520
