1,1:36.1,3.9,牡2,54,1,490(-4)
2,1:36.3,4.8,牡2,54,5,506(-4)
3,1:36.4,47.3,牡2,54,6,446(-2)
4,1:36.6,5.6,牝2,54,2,456(-2)
5,1:37.1,3.6,牡2,54,4,446(+8)
1,1:24.2,3.4,牝3,54,7,496(+2)
2,1:24.2,5.7,牝3,54,8,422(0)
3,1:24.6,4.6,牝3,54,2,456(0)
4,1:25.2,45.7,牝3,54,6,434(-4)
5,1:25.2,3.6,牝3,54,4,412(0)
1,1:51.2,2.6,牡3,56,4,462(-8)
2,1:51.8,5.1,牡3,56,7,498(-2)
3,1:52.4,34.6,牡3,56,8,446(0)
4,1:52.9,41.4,牡3,55,6,402(+2)
5,1:52.9,6.4,牡3,56,3,494(+6)
1,2:30.1,6.2,牡3,56,2,462(+2)
2,2:30.5,7.7,牝3,54,4,426(+4)
3,2:30.7,6.5,牡3,56,6,470(+2)
4,2:30.9,3.8,セ3,56,7,432(-2)
5,2:31.0,19.7,,牡3,8,470(-6)
1,1:24.6,2.2,牝2,54,5,434(0)
2,1:25.3,5.6,牡2,54,1,448(0)
3,1:25.3,93.5,,牡2,6,488(0)
4,1:25.5,29.3,,牡2,7,512(0)
5,1:25.6,163.3,,牡2,1,440(0)
1,1:11.9,1.7,牡2,54,3,478(0)
2,1:12.0,4.2,牡2,54,8,468(0)
3,1:12.3,7.4,牡2,54,5,446(0)
4,1:13.0,14.2,,牝2,2,438(0)
5,1:13.1,20.2,,牝2,8,452(0)
1,1:35.3,3.5,牝3,52,8,462(0)
2,1:35.5,2.6,牡3,54,7,508(+2)
3,1:35.6,12.6,牡4,57,8,462(+4)
4,1:36.5,14.3,,牡6,4,504(0)
5,1:36.5,13.6,,牡5,3,458(-4)
1,1:10.4,5.9,牝3,52,7,462(+6)
2,1:10.9,4.3,牝3,52,4,428(+4)
3,1:11.0,13.2,牝3,49,4,462(0)
4,1:11.1,2.0,牝3,52,7,474(+4)
5,1:11.1,22.4,牝5,55,8,460(+2)
1,2:03.2,1.4,牡3,54,6,452(0)
2,2:03.4,5.5,牡5,57,7,490(+6)
3,2:04.4,6.5,牡3,54,3,454(0)
4,2:04.8,24.5,,牝4,8,420(-2)
5,2:05.0,14.4,,牡4,8,492(+12)
1,1:10.7,5.3,牝3,52,5,484(+2)
2,1:10.7,1.5,牡4,57,4,520(+10)
3,1:11.2,5.8,牡4,57,2,464(0)
4,1:11.5,14.3,牝5,55,1,476(+4)
5,1:11.5,25.4,牝5,55,3,476(+8)
1,1:22.2,2.6,牡3,54,7,510(0)
2,1:22.2,5.3,牡4,56,8,518(-6)
3,1:22.4,5.6,,牝4,1,434(+4)
4,1:22.4,52.6,,,6,490(-12)
5,1:22.5,14.6,,,2,504(0)
1,1:49.4,4.1,牡3,54,2,478(+4)
2,1:49.4,3.3,牡3,54,6,474(-2)
3,1:49.4,6.4,,牡3,8,490(0)
4,1:49.9,6.8,,牝3,3,530(+10)
5,1:50.8,132.0,,セ4,8,500(-2)
1,3:25.9,4.6,牡5,60,5,512(-2)
2,3:26.2,6.4,60,1.3/4,1,508(-4)
3,3:26.2,4.2,クビ,,4,568(-2)
4,3:26.3,6.7,,,8,486(-16)
5,3:28.0,68.0,,牡5,6,452(-4)
1,1:35.9,4.2,牡3,56,1,482(-4)
2,1:36.0,43.6,牝3,54,8,452(+8)
3,1:36.2,5.5,,牡3,8,466(-8)
4,1:36.2,43.9,,牝3,8,402(-4)
5,1:37.1,39.9,,牝3,5,448(0)
1,1:51.1,5.1,牝3,51,4,458(+8)
2,1:52.2,1.9,牝3,54,2,482(+2)
3,1:53.1,229.8,牝3,53,3,486(-8)
4,1:53.2,6.6,牝3,54,8,506(+2)
5,1:53.6,142.1,牝3,54,6,518(-4)
1,1:11.8,5.0,セ3,56,5,466(0)
2,1:11.9,3.5,牝3,51,4,456(-4)
3,1:12.0,4.9,牡3,56,6,480(-6)
4,1:12.1,4.1,,牡3,3,452(0)
5,1:12.3,193.4,,牝3,8,450(0)
1,1:36.4,3.2,牡2,54,1,488(0)
2,1:36.4,3.0,牡2,54,3,454(0)
3,1:37.1,6.2,牝2,54,7,442(0)
4,1:37.2,52.4,,牝2,4,432(0)
