1,1:54.7,1.2,牡2,55,4,480(0)
2,1:56.0,13.2,牡2,55,7,480(+2)
3,1:56.1,12.8,牡2,55,8,448(+4)
4,1:56.2,130.9,牡2,55,2,482(-12)
5,1:56.5,106.6,牡2,55,3,500(-6)
1,1:13.2,8.1,牡2,55,4,456(+8)
2,1:14.4,6.9,,牡2,7,460(-2)
3,1:14.6,4.9,,牡2,6,428(-6)
4,1:14.8,4.8,,牡2,8,504(0)
5,1:14.8,6.8,,,7,434(0)
1,1:34.3,5.7,牡2,55,2,472(-4)
2,1:34.3,18.7,牡2,55,6,522(+2)
3,1:34.7,12.9,牡2,55,1,452(+4)
4,1:34.9,2.0,,牝2,7,496(-8)
5,1:35.0,448.1,,牡2,6,442(+2)
1,2:01.9,1.7,牡2,55,2,486(+6)
2,2:02.3,8.5,牡2,51,8,430(+2)
3,2:02.9,6.5,牡2,55,5,492(+2)
4,2:03.4,5.6,牡2,55,4,450(-4)
5,2:03.5,82.7,牡2,55,8,428(+8)
1,1:52.2,2.5,牝2,54,5,476(0)
2,1:52.3,5.3,牡2,55,1,502(0)
3,1:52.4,12.7,,牝2,4,496(0)
4,1:52.6,16.0,,牡2,8,472(0)
5,1:52.6,71.0,,牝2,3,482(0)
1,1:55.8,2.3,牡2,55,1,484(0)
2,1:56.2,3.7,牝2,54,5,436(0)
3,1:56.5,10.2,牡2,55,7,492(0)
4,1:56.5,20.7,牡2,52,4,526(0)
5,1:56.8,24.5,牡2,55,5,478(0)
1,1:25.3,4.2,牡4,57,3,482(+4)
2,1:25.4,6.3,牡3,56,8,500(-4)
3,1:25.5,5.4,牡3,56,4,532(+14)
4,1:25.5,82.3,牝4,55,5,466(-4)
5,1:25.7,9.5,,牡3,6,490(-4)
1,1:53.4,4.6,セ4,57,4,434(+4)
2,1:53.8,101.6,牡4,57,7,496(+2)
3,1:54.0,17.0,牡3,55,5,458(0)
4,1:54.1,6.6,牡3,55,8,494(+2)
5,1:54.2,2.3,牡3,55,1,492(+6)
1,2:00.7,5.6,牡4,55,6,498(+4)
2,2:00.8,10.7,牡4,55,5,482(-2)
3,2:00.9,8.2,牡4,54,4,472(+4)
4,2:01.0,32.3,牝4,52,7,458(+2)
5,2:01.0,49.4,牡7,54,3,472(-8)
1,1:11.0,2.9,牡3,55,8,488(0)
2,1:11.4,5.0,牝3,53,2,494(+2)
3,1:11.6,27.9,牡4,54,4,500(-16)
